"","date","ws","wd"
"350",2009-01-15 13:00:00,3.36,NA
"351",2009-01-15 14:00:00,2.36,103
"352",2009-01-15 15:00:00,2.36,126
"353",2009-01-15 16:00:00,0,0
"354",2009-01-15 17:00:00,0,0
"355",2009-01-15 18:00:00,0,0
"356",2009-01-15 19:00:00,0,0
"357",2009-01-15 20:00:00,0,0
"358",2009-01-15 21:00:00,1.76,323
"359",2009-01-15 22:00:00,0,0
"360",2009-01-15 23:00:00,0,0
"361",2009-01-16 00:00:00,1.76,306
"362",2009-01-16 01:00:00,0,0
"363",2009-01-16 02:00:00,0,0
"364",2009-01-16 03:00:00,0,0
"365",2009-01-16 04:00:00,0,0
"366",2009-01-16 05:00:00,0,0
"367",2009-01-16 06:00:00,0,0
"368",2009-01-16 07:00:00,0,0
"369",2009-01-16 08:00:00,0,0
"370",2009-01-16 09:00:00,0,0
"371",2009-01-16 10:00:00,0,0
"372",2009-01-16 11:00:00,2.86,12
"373",2009-01-16 12:00:00,2.86,42
"374",2009-01-16 13:00:00,3.86,70
"375",2009-01-16 14:00:00,1.76,81
"376",2009-01-16 15:00:00,2.36,95
"377",2009-01-16 16:00:00,0,0
"378",2009-01-16 17:00:00,0,0
"379",2009-01-16 18:00:00,1.76,239
"380",2009-01-16 19:00:00,1.76,230
"381",2009-01-16 20:00:00,2.36,226
"382",2009-01-16 21:00:00,0,0
"383",2009-01-16 22:00:00,0,0
"384",2009-01-16 23:00:00,0,0
"385",2009-01-17 00:00:00,2.86,337
"386",2009-01-17 01:00:00,0,0
"387",2009-01-17 02:00:00,0,0
"388",2009-01-17 03:00:00,0,0
"389",2009-01-17 04:00:00,0,0
"390",2009-01-17 05:00:00,0,0
"391",2009-01-17 06:00:00,0,0
"392",2009-01-17 07:00:00,0,0
"393",2009-01-17 08:00:00,0,0
"394",2009-01-17 09:00:00,0,0
"395",2009-01-17 10:00:00,0,0
"396",2009-01-17 11:00:00,0,0
"397",2009-01-17 12:00:00,0,0
"398",2009-01-17 13:00:00,0,0
"399",2009-01-17 14:00:00,1.76,94
"400",2009-01-17 15:00:00,0,0
"401",2009-01-17 16:00:00,0,0
"402",2009-01-17 17:00:00,0,0
"403",2009-01-17 18:00:00,1.76,259
"404",2009-01-17 19:00:00,1.76,237
"405",2009-01-17 20:00:00,0,0
"406",2009-01-17 21:00:00,0,0
"407",2009-01-17 22:00:00,0,0
"408",2009-01-17 23:00:00,0,0
"409",2009-01-18 00:00:00,0,0
"410",2009-01-18 01:00:00,0,0
"411",2009-01-18 02:00:00,0,0
"412",2009-01-18 03:00:00,0,0
"413",2009-01-18 04:00:00,0,0
"414",2009-01-18 05:00:00,1.76,22
"415",2009-01-18 06:00:00,0,0
"416",2009-01-18 07:00:00,1.76,68
"417",2009-01-18 08:00:00,0,0
"418",2009-01-18 09:00:00,1.76,32
"419",2009-01-18 10:00:00,2.36,17
"420",2009-01-18 11:00:00,3.36,357
"421",2009-01-18 12:00:00,2.86,11
"422",2009-01-18 13:00:00,3.36,NA
"423",2009-01-18 14:00:00,2.86,21
"424",2009-01-18 15:00:00,2.36,45
"425",2009-01-18 16:00:00,0,0
"426",2009-01-18 17:00:00,1.76,329
"427",2009-01-18 18:00:00,2.36,345
"428",2009-01-18 19:00:00,0,0
"429",2009-01-18 20:00:00,0,0
"430",2009-01-18 21:00:00,0,0
"431",2009-01-18 22:00:00,0,0
"432",2009-01-18 23:00:00,0,0
"433",2009-01-19 00:00:00,2.36,77
"434",2009-01-19 01:00:00,0,0
"435",2009-01-19 02:00:00,0,0
"436",2009-01-19 03:00:00,0,0
"437",2009-01-19 04:00:00,0,0
"438",2009-01-19 05:00:00,1.76,348
"439",2009-01-19 06:00:00,0,0
"440",2009-01-19 07:00:00,0,0
"441",2009-01-19 08:00:00,0,0
"442",2009-01-19 09:00:00,2.36,31
"443",2009-01-19 10:00:00,2.36,4
"444",2009-01-19 11:00:00,2.86,39
"445",2009-01-19 12:00:00,2.86,30
"446",2009-01-19 13:00:00,2.36,NA
"447",2009-01-19 14:00:00,1.76,NA
"448",2009-01-19 15:00:00,1.76,53
"449",2009-01-19 16:00:00,1.76,74
"450",2009-01-19 17:00:00,0,0
"451",2009-01-19 18:00:00,1.76,240
"452",2009-01-19 19:00:00,2.36,344
"453",2009-01-19 20:00:00,0,0
"454",2009-01-19 21:00:00,1.76,141
"455",2009-01-19 22:00:00,0,0
"456",2009-01-19 23:00:00,0,0
"457",2009-01-20 00:00:00,1.76,339
"458",2009-01-20 01:00:00,3.36,353
"459",2009-01-20 02:00:00,3.86,337
"460",2009-01-20 03:00:00,1.76,4
"461",2009-01-20 04:00:00,3.36,347
"462",2009-01-20 05:00:00,0,0
"463",2009-01-20 06:00:00,0,0
"464",2009-01-20 07:00:00,0,0
"465",2009-01-20 08:00:00,0,0
"466",2009-01-20 09:00:00,1.76,15
"467",2009-01-20 10:00:00,3.86,358
"468",2009-01-20 11:00:00,2.86,16
"469",2009-01-20 12:00:00,3.36,13
"470",2009-01-20 13:00:00,2.86,20
"471",2009-01-20 14:00:00,2.86,22
"472",2009-01-20 15:00:00,2.36,23
"473",2009-01-20 16:00:00,1.76,21
"474",2009-01-20 17:00:00,0,0
"475",2009-01-20 18:00:00,0,0
"476",2009-01-20 19:00:00,0,0
"477",2009-01-20 20:00:00,0,0
"478",2009-01-20 21:00:00,0,0
"479",2009-01-20 22:00:00,0,0
"480",2009-01-20 23:00:00,0,0
"481",2009-01-21 00:00:00,0,0
"482",2009-01-21 01:00:00,0,0
"483",2009-01-21 02:00:00,0,0
"484",2009-01-21 03:00:00,0,0
"485",2009-01-21 04:00:00,0,0
"486",2009-01-21 05:00:00,1.76,91
"487",2009-01-21 06:00:00,0,0
"488",2009-01-21 07:00:00,0,0
"489",2009-01-21 08:00:00,0,0
"490",2009-01-21 09:00:00,1.76,60
"491",2009-01-21 10:00:00,0,0
"492",2009-01-21 11:00:00,0,0
"493",2009-01-21 12:00:00,0,0
"494",2009-01-21 13:00:00,1.76,56
"495",2009-01-21 14:00:00,0,0
"496",2009-01-21 15:00:00,1.76,128
"497",2009-01-21 16:00:00,0,0
"498",2009-01-21 17:00:00,0,0
"499",2009-01-21 18:00:00,0,0
"500",2009-01-21 19:00:00,0,0
"501",2009-01-21 20:00:00,2.86,326
"502",2009-01-21 21:00:00,1.76,327
"503",2009-01-21 22:00:00,0,0
"504",2009-01-21 23:00:00,0,0
"505",2009-01-22 00:00:00,0,0
"506",2009-01-22 01:00:00,1.76,1
"507",2009-01-22 02:00:00,1.76,360
"508",2009-01-22 03:00:00,3.36,354
"509",2009-01-22 04:00:00,1.76,345
"510",2009-01-22 05:00:00,0,0
"511",2009-01-22 06:00:00,0,0
"512",2009-01-22 07:00:00,0,0
"513",2009-01-22 08:00:00,1.76,338
"514",2009-01-22 09:00:00,1.76,24
"515",2009-01-22 10:00:00,0,0
"516",2009-01-22 11:00:00,0,0
"517",2009-01-22 12:00:00,0,0
"518",2009-01-22 13:00:00,0,0
"519",2009-01-22 14:00:00,0,0
"520",2009-01-22 15:00:00,0,0
"521",2009-01-22 16:00:00,1.76,139
"522",2009-01-22 17:00:00,0,0
"523",2009-01-22 18:00:00,0,0
"524",2009-01-22 19:00:00,1.76,357
"525",2009-01-22 20:00:00,1.76,330
"526",2009-01-22 21:00:00,2.36,345
"527",2009-01-22 22:00:00,2.36,351
"528",2009-01-22 23:00:00,1.76,353
"529",2009-01-23 00:00:00,0,0
"530",2009-01-23 01:00:00,0,0
"531",2009-01-23 02:00:00,0,0
"532",2009-01-23 03:00:00,1.76,10
"533",2009-01-23 04:00:00,2.36,19
"534",2009-01-23 05:00:00,2.36,1
"535",2009-01-23 06:00:00,1.76,NA
"536",2009-01-23 07:00:00,2.86,337
"537",2009-01-23 08:00:00,2.36,355
"538",2009-01-23 09:00:00,2.86,359
"539",2009-01-23 10:00:00,2.86,346
"540",2009-01-23 11:00:00,1.76,14
"541",2009-01-23 12:00:00,2.86,60
"542",2009-01-23 13:00:00,0,0
"543",2009-01-23 14:00:00,2.36,NA
"544",2009-01-23 15:00:00,2.86,63
"545",2009-01-23 16:00:00,0,0
"546",2009-01-23 17:00:00,2.36,75
"547",2009-01-23 18:00:00,0,0
"548",2009-01-23 19:00:00,0,0
"549",2009-01-23 20:00:00,0,0
"550",2009-01-23 21:00:00,0,0
"551",2009-01-23 22:00:00,0,0
"552",2009-01-23 23:00:00,3.86,190
"553",2009-01-24 00:00:00,3.36,206
"554",2009-01-24 01:00:00,1.76,179
"555",2009-01-24 02:00:00,1.76,217
"556",2009-01-24 03:00:00,2.36,198
"557",2009-01-24 04:00:00,3.36,169
"558",2009-01-24 05:00:00,1.76,162
"559",2009-01-24 06:00:00,3.36,197
"560",2009-01-24 07:00:00,2.86,193
"561",2009-01-24 08:00:00,3.36,168
"562",2009-01-24 09:00:00,4.86,234
"563",2009-01-24 10:00:00,0,0
"564",2009-01-24 11:00:00,6.96,228
"565",2009-01-24 12:00:00,6.96,209
"566",2009-01-24 13:00:00,4.86,217
"567",2009-01-24 14:00:00,6.96,223
"568",2009-01-24 15:00:00,4.86,218
"569",2009-01-24 16:00:00,6.96,208
"570",2009-01-24 17:00:00,4.86,232
"571",2009-01-24 18:00:00,5.96,212
"572",2009-01-24 19:00:00,2.36,192
"573",2009-01-24 20:00:00,3.86,225
"574",2009-01-24 21:00:00,3.36,185
"575",2009-01-24 22:00:00,3.86,233
"576",2009-01-24 23:00:00,3.86,209
"577",2009-01-25 00:00:00,3.36,240
"578",2009-01-25 01:00:00,2.36,222
"579",2009-01-25 02:00:00,0,0
"580",2009-01-25 03:00:00,2.86,205
"581",2009-01-25 04:00:00,0,0
"582",2009-01-25 05:00:00,2.36,315
"583",2009-01-25 06:00:00,0,0
"584",2009-01-25 07:00:00,2.36,301
"585",2009-01-25 08:00:00,0,0
"586",2009-01-25 09:00:00,2.36,NA
"587",2009-01-25 10:00:00,3.36,331
"588",2009-01-25 11:00:00,3.36,318
"589",2009-01-25 12:00:00,0,0
"590",2009-01-25 13:00:00,2.86,132
"591",2009-01-25 14:00:00,2.86,162
"592",2009-01-25 15:00:00,3.36,150
"593",2009-01-25 16:00:00,7.46,336
"594",2009-01-25 17:00:00,3.86,231
"595",2009-01-25 18:00:00,2.36,231
"596",2009-01-25 19:00:00,0,0
"597",2009-01-25 20:00:00,0,0
"598",2009-01-25 21:00:00,0,0
"599",2009-01-25 22:00:00,0,0
"600",2009-01-25 23:00:00,4.86,350
"601",2009-01-26 00:00:00,1.76,352
"602",2009-01-26 01:00:00,2.36,35
"603",2009-01-26 02:00:00,0,0
"604",2009-01-26 03:00:00,0,0
"605",2009-01-26 04:00:00,1.76,234
"606",2009-01-26 05:00:00,1.76,226
"607",2009-01-26 06:00:00,0,0
"608",2009-01-26 07:00:00,0,0
"609",2009-01-26 08:00:00,1.76,NA
"610",2009-01-26 09:00:00,1.76,34
"611",2009-01-26 10:00:00,2.36,12
"612",2009-01-26 11:00:00,3.86,6
"613",2009-01-26 12:00:00,5.96,346
"614",2009-01-26 13:00:00,4.36,352
"615",2009-01-26 14:00:00,3.86,6
"616",2009-01-26 15:00:00,6.46,360
"617",2009-01-26 16:00:00,4.86,355
"618",2009-01-26 17:00:00,4.86,341
"619",2009-01-26 18:00:00,6.46,344
"620",2009-01-26 19:00:00,5.96,348
"621",2009-01-26 20:00:00,6.96,346
"622",2009-01-26 21:00:00,5.96,346
"623",2009-01-26 22:00:00,5.36,354
"624",2009-01-26 23:00:00,3.86,348
"625",2009-01-27 00:00:00,4.36,1
"626",2009-01-27 01:00:00,3.36,2
"627",2009-01-27 02:00:00,3.36,21
"628",2009-01-27 03:00:00,4.86,351
"629",2009-01-27 04:00:00,1.76,NA
"630",2009-01-27 05:00:00,1.76,31
"631",2009-01-27 06:00:00,0,0
"632",2009-01-27 07:00:00,2.36,340
"633",2009-01-27 08:00:00,2.36,351
